Rotor,Weight,Name,Location,Obstruction,Time
Long,Unweighted,Standardized Testing,Window 1,FALSE,4.93
Long,Unweighted,Standardized Testing,Window 1,FALSE,4.07
Long,Unweighted,Standardized Testing,Window 1,FALSE,1.17
Long,Unweighted,Standardized Testing,Window 1,TRUE,4.91
Long,Unweighted,Standardized Testing,Window 1,TRUE,4.4
Long,Unweighted,Standardized Testing,Stair,FALSE,5.41
Long,Unweighted,Standardized Testing,Stair,FALSE,4.99
Long,Unweighted,Standardized Testing,Stair,FALSE,5.8
Long,Unweighted,Standardized Testing,Stair,FALSE,5.94
Long,Unweighted,Standardized Testing,Stair,FALSE,5.14
Long,Unweighted,Standardized Testing,Stair,FALSE,5.53
Long,Unweighted,Standardized Testing,Stair,TRUE,5.88
Long,Unweighted,Standardized Testing,Stair,FALSE,6.3
Short ,Weighted,Angle  Side Side,Window 2,FALSE,3.41
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.84
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.87
Short,Weighted,Angle  Side Side,Window 2,TRUE,3.82
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.36
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.83
Short,Weighted,Angle  Side Side,Window 2,TRUE,4
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.63
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.03
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.25
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.04
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.32
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.26
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.04
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.99
Short,Weighted,Angle  Side Side,Window 2,TRUE,3
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.6
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.49
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.65
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.48
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.64
Short,Weighted,Angle  Side Side,Window 2,FALSE,4.47
Short,Weighted,Angle  Side Side,Window 2,FALSE,3.28
Short,Weighted,Angle  Side Side,Window 2,TRUE,4
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.83
Short,Weighted,Angle  Side Side,Window 2,FALSE,2.65
Long,Weighted,"Team McQueen ""Kachow""",Stairwell 1,FALSE,5.12
Long,Weighted,"Team McQueen ""Kachow""",Stairwell 1,FALSE,4.61
Long,Weighted,"Team McQueen ""Kachow""",Stairwell 1,FALSE,4.76
Long,Weighted,"Team McQueen ""Kachow""",Stairwell 1,FALSE,4.54
